开始时间,event1,event2,event3,event4,event5,event6,event7
2362,95,231,278,444,564,656,753
1407,98,231,278,443,558,659,767
1071,104,269,321,493,630,733,841
665,93,228,272,420,538,626,719
1984,96,253,316,509,629,734,855
588,109,274,329,511,649,744,869
1277,100,239,286,452,575,662,764
1601,96,245,292,466,599,706,848
630,126,298,354,541,696,803,963
839,96,242,298,476,605,698,833
