"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.1725532,0.3321946,0,0.01424818,0,0.04665059,6.847588e-12,0.1725069,0.3318636,0.1362667,0,0,0.04664762,6.895515e-12,0.02758705,0.0009484381,0.002132549,0.01837336,0.01869578,0.07029188,0.05675836,0.004411558,1.206681e-10,2.842559e-33,2.839307e-30,0.112251,0.1168282,0.09791653,0.0980247,0.1007795,0.1065584,0.06724499,0.03710897,0.2806371,0.1686735,0.09311665,0.09917232,0.0170535,0.01595711,0.06504826,0.06570832,0.163293,0.1635978,0.08673213,-1.261169e-44,-1.261169e-44,0.05152843,0.03931396,0.03733469,0.06725531,0.06448181,2.940227e-06,2158776," 437693:35:58.776",0
"2",0.2163167,0.3385026,0,0.01390171,0,0.04664922,6.30189e-12,0.2161164,0.3381509,0.1359003,0,0,0.04664638,6.345998e-12,0.02769982,0.000970893,0.002034156,0.01841719,0.01873634,0.07032187,0.05664302,0.004748352,1.110518e-10,2.616029e-33,2.613037e-30,0.1114432,0.1165386,0.09780331,0.09757984,0.1009559,0.1065839,0.06738144,0.03712171,0.2837589,0.1687858,0.09275404,0.0987464,0.01707068,0.01596861,0.06524017,0.06578682,0.1624996,0.1627841,0.08715718,-1.261169e-44,-1.261169e-44,0.05155469,0.03939542,0.03737368,0.06733447,0.06443222,3.106161e-06,2158809," 437693:35:58.809",0
"3",0.5508468,0.3538654,0,0.006529878,0,0.05205063,5.79968e-12,0.5509396,0.3535743,0.1276121,0,0,0.05205372,5.840273e-12,0.0279352,0.00106134,0.001910349,0.01853416,0.01878181,0.07015532,0.05633759,0.005339509,1.022019e-10,2.407553e-33,2.404799e-30,0.08841889,0.1055077,0.09731409,0.09608591,0.101115,0.10658,0.06716891,0.03745742,0.2732948,0.1685013,0.09238616,0.09828237,0.0172067,0.01612403,0.06541894,0.06582029,0.1522107,0.1522916,0.09340064,-1.261169e-44,-1.261169e-44,0.05108158,0.0411127,0.03827773,0.06760491,0.06447425,3.092504e-06,2158843," 437693:35:58.843",0
"4",0.7511122,0.3504168,0,0.006817332,0,0.06160589,5.337492e-12,0.753994,0.3501406,0.1272704,0,0,0.0616436,5.37485e-12,0.02818546,0.00103238,0.001778609,0.01863351,0.01874439,0.06993888,0.05602819,0.00630871,9.405721e-11,2.21569e-33,2.213156e-30,0.05735065,0.08809232,0.09667395,0.09326901,0.1012036,0.1065455,0.06655416,0.03765105,0.2702944,0.1684207,0.09205264,0.09773125,0.0173844,0.01631868,0.06595692,0.0660958,0.1472272,0.1472445,0.09681013,-1.261169e-44,-1.261169e-44,0.0500354,0.04367855,0.04003018,0.06844921,0.06467879,3.054009e-06,2158876," 437693:35:58.876",0
"5",0.5187128,0.3555482,0,0.005731461,0,0.06490041,4.912136e-12,0.5191366,0.3552691,0.1262253,0,0,0.06494578,4.946518e-12,0.02854871,0.001090292,0.001647841,0.01883523,0.01876015,0.06980587,0.05569221,0.006879629,8.656161e-11,2.039118e-33,2.036785e-30,0.04774716,0.07535611,0.09633096,0.09229355,0.1012771,0.1065273,0.06600261,0.03797423,0.2684628,0.1685042,0.0916845,0.09726343,0.01758708,0.01654538,0.06680724,0.06658888,0.1449259,0.1449133,0.09938984,-1.261169e-44,-1.261169e-44,0.04930753,0.04531901,0.04127203,0.06900569,0.06493656,2.502479e-06,2158909," 437693:35:58.909",0
"6",0.3262269,0.3530813,0,0.005817847,0,0.06661494,4.520679e-12,0.3260617,0.3528073,0.1265914,0,0,0.06666227,4.55232e-12,0.02862399,0.001203009,0.001522394,0.0189229,0.0187718,0.0699513,0.0556112,0.007429725,7.966334e-11,1.876616e-33,1.87447e-30,0.06708065,0.08104426,0.09621513,0.09175173,0.1014191,0.1064736,0.0657102,0.03817378,0.2691532,0.1683972,0.0915719,0.09708145,0.0176777,0.01665127,0.06718571,0.06674647,0.1492495,0.1492398,0.1002143,-1.261169e-44,-1.261169e-44,0.04909553,0.04615225,0.04196015,0.06924738,0.06497006,1.947846e-06,2158943," 437693:35:58.943",0
"7",0.2660373,0.3536678,0,0.004642881,0,0.06716375,4.160417e-12,0.2656164,0.3534078,0.1255982,0,0,0.06721027,4.189536e-12,0.0285602,0.001349314,0.001404215,0.01891975,0.01873951,0.07020858,0.05557895,0.007928171,7.331481e-11,1.727065e-33,1.725089e-30,0.07153965,0.08345944,0.09627959,0.09153258,0.1015055,0.1063044,0.06545749,0.03821645,0.2762337,0.1683217,0.09149498,0.09698421,0.01770479,0.01668651,0.06746737,0.0668494,0.151073,0.1510654,0.1003724,-1.261169e-44,-1.261169e-44,0.04909111,0.04649767,0.04227596,0.06929115,0.06486063,1.588991e-06,2158977," 437693:35:58.977",0
"8",0.2345438,0.3502862,0,0.003519981,0,0.06670164,3.828865e-12,0.2340034,0.3500534,0.12476,0,0,0.06674026,3.855664e-12,0.02858323,0.001488901,0.001293993,0.01904282,0.01875905,0.07064338,0.05558624,0.008457384,6.747221e-11,1.589432e-33,1.587613e-30,0.07373282,0.08443269,0.09617388,0.09120767,0.1016137,0.1060948,0.06512377,0.03818432,0.2782903,0.1684826,0.09105796,0.09651373,0.01778701,0.01676142,0.06790907,0.06711838,0.1521369,0.1521297,0.1001607,-1.261169e-44,-1.261169e-44,0.04912139,0.04653572,0.04232487,0.06928041,0.06473169,1.386638e-06,2159010," 437693:35:59.010",0
"9",0.2179706,0.3437892,0,0.002088245,0,0.06583984,3.523735e-12,0.2173838,0.3435989,0.1236255,0,0,0.06587,3.548398e-12,0.02845178,0.001693357,0.001191772,0.01899873,0.01875498,0.07098155,0.05577485,0.008980412,6.209522e-11,1.462767e-33,1.461093e-30,0.08197419,0.09781377,0.09623434,0.09104114,0.1016563,0.1057884,0.06497043,0.03808592,0.2852606,0.1680395,0.09078234,0.0962523,0.01774556,0.01671827,0.06793721,0.06701445,0.1537839,0.15378,0.09899792,-1.261169e-44,-1.261169e-44,0.0493946,0.04633379,0.04215439,0.06916457,0.06451821,1.780249e-06,2159043," 437693:35:59.043",0
"10",0.2090487,0.3365419,0,0.002979359,0,0.06480336,3.242922e-12,0.2084507,0.3363634,0.1247058,0,0,0.0648258,3.26562e-12,0.02835651,0.001772781,0.00109728,0.0189596,0.01874611,0.071307,0.05593289,0.009421173,5.714673e-11,1.346196e-33,1.344656e-30,0.08535302,0.1027554,0.09625749,0.0908367,0.1017173,0.1055492,0.06486572,0.03793122,0.2882532,0.167676,0.09045361,0.09591935,0.01769696,0.0166671,0.06801601,0.06696258,0.1563442,0.156344,0.09736227,-1.261169e-44,-1.261169e-44,0.04971695,0.04604715,0.04189485,0.06908798,0.06432965,1.997174e-06,2159076," 437693:35:59.076",0
