"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.1424227,0.1666414,0,0.08002371,0,0.1002432,0,0.1420006,0.1663639,0.193784,0,0,0.1003303,0,0.02036216,0.003512571,2.988786e-05,0.009501161,0.01309003,0.09259643,0.0630199,0.00492716,9.770803e-06,0.0002054451,0.0009153701,0.0293201,0.007101342,0.1440156,0.1418649,0.09817746,0.1031698,0.05314967,0.03685797,0.3397603,0.1307329,0.1084587,0.1074013,0.01622303,0.01591264,0.06086022,0.06133899,0.06689195,0.0680271,0.138119,0.0001598528,0.0001647219,0.0518608,0.0372143,0.03704244,0.06384721,0.06488429,2.811792e-06,2886067," 437697:48:06.067",0
"2",0.1429543,0.1721693,0,0.07958126,0,0.09977545,0,0.1425418,0.1718591,0.1934501,0,0,0.09986006,0,0.02042116,0.003418419,2.750604e-05,0.009529848,0.01311933,0.0925016,0.06281437,0.004791269,8.992149e-06,0.0001890728,0.0008424244,0.02932828,0.00703867,0.1436953,0.1417515,0.09812491,0.1032632,0.05311885,0.03687036,0.3391299,0.1307102,0.1081863,0.1071615,0.0162512,0.01593398,0.0608915,0.06140492,0.06722967,0.06838299,0.1380098,0.0001471138,0.0001515948,0.05164926,0.03719247,0.03704883,0.06392016,0.06496122,2.537629e-06,2886084," 437697:48:06.084",0
"3",0.1432597,0.169471,0,0.08003357,0,0.09949709,0,0.1428549,0.1691752,0.193834,0,0,0.09957968,0,0.02041402,0.0032715,2.531403e-05,0.009533837,0.01312986,0.09259917,0.06270014,0.004646298,8.275547e-06,0.0001740052,0.0009244456,0.02892855,0.006678865,0.1434752,0.1416707,0.09801386,0.1032834,0.05301403,0.03686313,0.3387038,0.1304016,0.1078914,0.1068527,0.01626343,0.01594479,0.06084948,0.06137375,0.06708357,0.06824914,0.1380289,0.00013539,0.0001395139,0.05155644,0.03715537,0.03702984,0.06392983,0.0649775,2.30231e-06,2886101," 437697:48:06.101",0
"4",0.1437939,0.1710486,0,0.08005825,0,0.09930623,0,0.1433961,0.1707424,0.1938907,0,0,0.09938736,0,0.02038889,0.003160331,2.329671e-05,0.009522294,0.0131222,0.09269482,0.06260768,0.0045389,7.616053e-06,0.0001601383,0.0008919402,0.02857256,0.0062905,0.1434379,0.1417374,0.09791512,0.1032815,0.05291217,0.03685098,0.3385711,0.1301419,0.107742,0.1066982,0.01626293,0.01593799,0.06082267,0.06135357,0.06742788,0.06860292,0.1377832,0.0001246005,0.0001283958,0.05152651,0.03712716,0.03701777,0.06394264,0.06499261,2.064087e-06,2886118," 437697:48:06.118",0
"5",0.1442005,0.1723409,0,0.08004137,0,0.09910766,0,0.1438057,0.1720265,0.1938962,0,0,0.09918766,0,0.02037458,0.003063825,2.144015e-05,0.00950945,0.01311912,0.09298332,0.06266358,0.004484253,7.009115e-06,0.0001473766,0.001177818,0.02726679,0.005856817,0.1434548,0.1418057,0.09789036,0.1032981,0.05279757,0.03684377,0.3386579,0.129856,0.1075992,0.106569,0.01628062,0.01594505,0.06083209,0.06135624,0.06753147,0.06871089,0.1376399,0.0001146709,0.0001181637,0.05155378,0.03711649,0.03702169,0.06401256,0.06506503,2.530021e-06,2886134," 437697:48:06.134",0
"6",0.1446378,0.1743802,0,0.08021605,0,0.09887745,0,0.144248,0.1740512,0.1941005,0,0,0.09895589,0,0.0203891,0.002934404,1.973154e-05,0.009504599,0.01311833,0.09308806,0.06250662,0.004360254,6.450544e-06,0.0001356319,0.001463987,0.02643439,0.005426269,0.1435098,0.1419478,0.09785072,0.1033618,0.05269891,0.03686183,0.3384822,0.1295452,0.1073644,0.1063433,0.01630411,0.01596014,0.06083913,0.06136424,0.06715097,0.06833731,0.1377767,0.0001055325,0.000108747,0.05146229,0.03712877,0.0370473,0.06407488,0.06511731,2.556927e-06,2886150," 437697:48:06.150",0
"7",0.1449389,0.174325,0,0.08070578,0,0.09876429,0,0.1445479,0.1739924,0.1946054,0,0,0.09884146,0,0.02039244,0.00281303,1.815909e-05,0.009496037,0.01311301,0.09317195,0.06229352,0.004316592,5.936487e-06,0.0001248231,0.001658897,0.02555558,0.005013211,0.143633,0.1420437,0.09778845,0.1033618,0.05256543,0.03688885,0.3381793,0.1290987,0.1070402,0.1059931,0.01631921,0.01596772,0.06080873,0.06130207,0.06661516,0.06779698,0.1379724,9.712243e-05,0.0001000807,0.05134665,0.03712635,0.03703966,0.06409454,0.06510611,2.639065e-06,2886168," 437697:48:06.168",0
"8",0.1450186,0.1736064,0,0.08195925,0,0.09856498,0,0.1446258,0.1732696,0.1958442,0,0,0.09864101,0,0.02037924,0.002708241,1.671196e-05,0.009469585,0.01308476,0.09324647,0.06208262,0.004296049,5.463397e-06,0.0001148757,0.00174912,0.02488021,0.004624068,0.1439553,0.1423103,0.09769842,0.1033134,0.05247343,0.03688706,0.3381869,0.128729,0.1069059,0.1058408,0.01631332,0.01595545,0.06079884,0.06126526,0.0663278,0.06750394,0.1379519,8.938255e-05,9.210509e-05,0.05134703,0.03707407,0.03698146,0.06405661,0.06503843,2.554434e-06,2886184," 437697:48:06.184",0
"9",0.1452096,0.1734589,0,0.08117,0,0.09842095,0,0.1448165,0.1731287,0.1950645,0,0,0.098496,0,0.02035857,0.002655555,1.538015e-05,0.009441663,0.01305444,0.09331147,0.06192027,0.004290284,5.028008e-06,0.000105721,0.001702276,0.02447248,0.004266076,0.1442789,0.1425736,0.09756234,0.1032075,0.05239899,0.03689661,0.3383143,0.1284142,0.1068645,0.1057725,0.01629296,0.0159326,0.06077555,0.06122111,0.06599272,0.06716236,0.1379166,8.225947e-05,8.476505e-05,0.05140186,0.0370287,0.03692558,0.06399226,0.06495025,2.32677e-06,2886200," 437697:48:06.200",0
"10",0.1453528,0.1727152,0,0.08136415,0,0.09827504,0,0.1449562,0.1723885,0.1952341,0,0,0.09834996,0,0.02032454,0.002659847,1.415448e-05,0.009420662,0.01303342,0.09341951,0.06178755,0.004349381,4.627316e-06,9.72959e-05,0.001663838,0.02402237,0.003930443,0.144613,0.1428091,0.0974365,0.103071,0.05234911,0.03692087,0.3383122,0.1280779,0.1068585,0.105757,0.01627783,0.01591596,0.06071776,0.06112818,0.06516988,0.06630758,0.1380785,7.570405e-05,7.800996e-05,0.05147395,0.03700121,0.03688306,0.06391452,0.06485094,2.090564e-06,2886217," 437697:48:06.217",0
