"","X","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"11",6398,0.04254808,0.1821803,0.03380179,0,0,0.1750587,0.006533489,0.04130518,0.1828611,0.07736988,0,0,0.1753967,0.00660544,0.02861422,0.01713073,5.003217e-05,0.01090809,0.01473028,0.08054408,0.03817191,0.02847622,1.713e-25,0.1943576,0.1259246,9.786762e-05,0.0001150017,0.2843257,0.2236169,0.09353274,0.08140898,0.05304322,0.04725112,0.3870664,0.1073614,0.06365599,0.06575188,0.02835835,0.02722106,0.1033017,0.09637314,0.2568168,0.2557005,0.0713404,-1.261169e-44,-1.261169e-44,0.0253704,0.1684161,0.1449417,0.1665909,0.1615962,0.0003785491,1376675," 437718:22:56.675",1
"12",6399,0.03913657,0.1777929,0.03674381,0,0,0.1745066,0.006413137,0.03829908,0.1785,0.07439155,0,0,0.1748405,0.006482605,0.02864979,0.01738135,4.604501e-05,0.01075834,0.01455779,0.08028122,0.03799962,0.02848927,1.576488e-25,0.1949984,0.1293829,9.006836e-05,0.000105837,0.2876888,0.2290775,0.09327784,0.08099628,0.05319014,0.04693409,0.3936651,0.1079658,0.06491307,0.06709888,0.02814129,0.0269844,0.1050498,0.0983337,0.2575442,0.2564717,0.07079436,-1.261169e-44,-1.261169e-44,0.02533571,0.1685701,0.1452059,0.1664621,0.1613445,0.0004764948,1376692," 437718:22:56.692",1
"13",6400,0.03531269,0.1778614,0.03611926,0,0,0.1742063,0.006678217,0.03467245,0.178564,0.07497989,0,0,0.1745386,0.006754097,0.02867611,0.01767498,4.237559e-05,0.01063936,0.01442479,0.0800776,0.03792624,0.02861971,1.450854e-25,0.2009665,0.1349482,8.289063e-05,9.74026e-05,0.2892593,0.2312661,0.09308691,0.08063016,0.05326085,0.04666507,0.3964651,0.1084046,0.06570353,0.06794108,0.02801401,0.02682821,0.1062079,0.09958313,0.2582968,0.2571943,0.07031613,-1.261169e-44,-1.261169e-44,0.0252607,0.1696566,0.1459337,0.1666556,0.1613768,0.0005919032,1376708," 437718:22:56.708",1
"14",6401,0.03361233,0.1779274,0.03731477,0,0,0.1742441,0.006764887,0.0330669,0.1786383,0.07376617,0,0,0.174577,0.00684177,0.02868466,0.01791186,3.899859e-05,0.01054082,0.01432184,0.07999027,0.03784842,0.02862652,1.335233e-25,0.2030361,0.1390105,7.628492e-05,8.964039e-05,0.2897587,0.2323632,0.09283963,0.08025227,0.05327872,0.04649176,0.3930891,0.1085649,0.06626073,0.06853698,0.02792394,0.02671307,0.1068015,0.1002743,0.2596759,0.2585701,0.06982974,-1.261169e-44,-1.261169e-44,0.02516704,0.170534,0.1474372,0.1668453,0.1614911,0.0006591732,1376725," 437718:22:56.725",1
"15",6402,0.03310856,0.1782603,0.03806977,0,0,0.1744798,0.006462089,0.03255099,0.1789765,0.07302849,0,0,0.1748163,0.006535734,0.02869041,0.01817932,3.589072e-05,0.01043826,0.01422402,0.0800705,0.03775962,0.02866551,1.228826e-25,0.2050259,0.1422233,7.020562e-05,8.249677e-05,0.2899991,0.2330285,0.09260041,0.07987963,0.0532923,0.04634225,0.3921242,0.10859,0.06674433,0.06906024,0.02785095,0.02661681,0.1072282,0.1007552,0.2610949,0.2599602,0.06933316,-1.261169e-44,-1.261169e-44,0.02508952,0.1720491,0.14926,0.1672539,0.1618168,0.0005956076,1376742," 437718:22:56.742",1
"16",6403,0.03304614,0.1782543,0.04124177,0,0,0.1749134,0.006073596,0.03244702,0.1789939,0.06983803,0,0,0.1752543,0.006142919,0.02871581,0.01843579,3.303052e-05,0.01033644,0.01412996,0.08025582,0.03761639,0.0286585,1.130898e-25,0.208496,0.1472578,6.461079e-05,7.592244e-05,0.2902787,0.2337033,0.09240392,0.07958168,0.05331923,0.0462049,0.3913179,0.1084852,0.06716856,0.06952123,0.02780011,0.02654386,0.1075563,0.1011394,0.2623628,0.2612107,0.06884169,-1.261169e-44,-1.261169e-44,0.02500203,0.1742711,0.1521938,0.1681571,0.1625545,0.0006884442,1376758," 437718:22:56.758",1
"17",6404,0.03321011,0.1787275,0.0445466,0,0,0.1754435,0.005657279,0.03257124,0.1794909,0.06647454,0,0,0.1757877,0.005721906,0.02879482,0.01853131,3.039825e-05,0.01024723,0.0140501,0.08043337,0.03760526,0.02840724,1.040775e-25,0.209793,0.1512634,5.946183e-05,6.987203e-05,0.2900205,0.2341511,0.0922355,0.07939385,0.05332682,0.04606419,0.3910125,0.1086722,0.06764489,0.07003498,0.02777244,0.02649244,0.1079446,0.1016567,0.2632926,0.2621548,0.06840428,-1.261169e-44,-1.261169e-44,0.02492389,0.1758323,0.1556462,0.1689496,0.1636592,0.0009346365,1376775," 437718:22:56.775",1
"18",6405,0.04726338,0.1810408,0.05185061,0,0,0.1758286,0.005242676,0.04597952,0.1818569,0.05908119,0,0,0.1761742,0.005302595,0.02891303,0.01870705,2.797575e-05,0.01015162,0.01396318,0.08066241,0.03773439,0.0282366,9.578334e-26,0.2105431,0.1531689,5.47232e-05,6.430379e-05,0.2895439,0.2342504,0.09207703,0.07917779,0.05339454,0.04584602,0.3945888,0.1095897,0.06838027,0.07099628,0.02775382,0.02644847,0.1097822,0.1041121,0.2640707,0.2629511,0.06801966,-1.261169e-44,-1.261169e-44,0.02489099,0.1771566,0.1575528,0.1726456,0.1673152,0.001240967,1376792," 437718:22:56.792",1
"19",6406,0.05109657,0.1850048,0.06780689,0,0,0.1760698,0.004844273,0.04967668,0.1859398,0.04290901,0,0,0.1764094,0.004899654,0.02907103,0.01860956,2.574631e-05,0.01007951,0.01389751,0.08081296,0.038016,0.02769596,8.815018e-26,0.2111897,0.1610683,5.03622e-05,5.91793e-05,0.2792673,0.2338868,0.09182042,0.0790505,0.05340777,0.04554543,0.3960939,0.1135662,0.06915819,0.07201594,0.02781576,0.02648938,0.1130693,0.1092363,0.2647664,0.2636849,0.06768244,-1.261169e-44,-1.261169e-44,0.02479353,0.1792606,0.1619387,0.1800983,0.1768399,0.001342486,1376808," 437718:22:56.808",1
"20",6407,0.05338806,0.184734,0.06791471,0,0,0.1765577,0.004468604,0.051929,0.1856695,0.04276855,0,0,0.1768913,0.004519699,0.02930722,0.01839411,2.369454e-05,0.01004642,0.01385303,0.08102231,0.03835611,0.02714781,8.112532e-26,0.2113344,0.1636142,4.634874e-05,5.446318e-05,0.2708107,0.2305882,0.09165674,0.0790084,0.05342529,0.04528141,0.3969333,0.1190194,0.06991698,0.07286843,0.02794611,0.02659536,0.1155801,0.1122221,0.2660528,0.2651282,0.06734313,-1.261169e-44,-1.261169e-44,0.02472178,0.1803018,0.1637455,0.1827489,0.1800153,0.001395015,1376825," 437718:22:56.825",1
