"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.01956087,0.1704438,0,0.08069696,0,0.09664344,0.02192689,0.0186832,0.1703691,0.1932725,0,0,0.09683595,0.0229082,0.02112563,0.01780322,1.276205e-40,0.03947001,0.03778885,0.2126662,0.1625614,0.0348451,-1.261169e-44,2.267605e-09,4.995635e-09,0.02853076,0.02745202,0.04594768,0.04046629,0.1589251,0.1371892,0.04245684,0.04444669,0.1900861,0.09985214,0.03792403,0.04098949,0.03148023,0.02938757,0.04740256,0.04264546,0.1982205,0.1982655,0.08469003,-1.261169e-44,-1.261169e-44,0.04460445,0.02905334,0.02535126,0.08016071,0.08012692,9.303384e-05,1753006," 437689:29:13.006",0
"2",0.02037306,0.1706872,0,0.08059131,0,0.09643212,0.02136234,0.01939989,0.1706117,0.1931724,0,0,0.09662424,0.02227076,0.02116399,0.01787727,1.174512e-40,0.03959427,0.03780492,0.2138161,0.1627615,0.03505781,-1.261169e-44,2.086895e-09,4.597522e-09,0.02821226,0.02697801,0.04587313,0.04041135,0.1593307,0.1374869,0.04231986,0.0444729,0.1900172,0.1002846,0.03785579,0.04096865,0.03166289,0.02954847,0.04758619,0.04281818,0.1986624,0.1987078,0.08446227,-1.261169e-44,-1.261169e-44,0.04447522,0.02908788,0.02537971,0.08025895,0.08025265,0.0001136228,1753023," 437689:29:13.023",0
"3",0.02108162,0.1711842,0,0.08046692,0,0.09621153,0.02085522,0.0200524,0.1711066,0.1930575,0,0,0.09640358,0.02170594,0.02116897,0.01800262,1.08092e-40,0.03968496,0.03783652,0.2145578,0.1631252,0.03532773,-1.261169e-44,1.920586e-09,4.231136e-09,0.02801398,0.02662201,0.04581727,0.04035746,0.1596949,0.1376776,0.04222293,0.04449734,0.190052,0.100554,0.03778451,0.04094154,0.03179511,0.02966481,0.04770222,0.04292823,0.1991107,0.1991563,0.08419667,-1.261169e-44,-1.261169e-44,0.04438192,0.02912427,0.02540539,0.08035404,0.08036503,0.0001112807,1753039," 437689:29:13.039",0
"4",0.02181387,0.1708234,0,0.0809015,0,0.0961474,0.02032401,0.02074016,0.1707448,0.1934793,0,0,0.09633929,0.02112358,0.02122521,0.01806994,9.947958e-41,0.03983571,0.03784055,0.2144789,0.1629312,0.0354687,-1.261169e-44,1.767531e-09,3.893949e-09,0.02803406,0.02662348,0.04572345,0.04025557,0.1599411,0.1378498,0.04211919,0.04447981,0.1898828,0.101141,0.03773526,0.04090955,0.03189937,0.02975578,0.04787116,0.04307687,0.1994402,0.1994844,0.08410029,-1.261169e-44,-1.261169e-44,0.04426614,0.0291567,0.02542938,0.08038595,0.0804176,0.0001023502,1753056," 437689:29:13.056",0
"5",0.02213244,0.1683245,0,0.08192293,0,0.09630919,0.02015752,0.02105653,0.1682539,0.1944374,0,0,0.09650063,0.02093008,0.0213099,0.01810529,9.155103e-41,0.03992364,0.03782505,0.2139811,0.1626357,0.0355437,-1.261169e-44,1.626673e-09,3.583632e-09,0.02831687,0.026988,0.0456765,0.04017641,0.1601545,0.1380108,0.04209091,0.04444999,0.189915,0.1016924,0.03775015,0.04092332,0.03194097,0.02978888,0.0480142,0.0431999,0.1997312,0.1997733,0.08402063,-1.261169e-44,-1.261169e-44,0.04423739,0.02919511,0.02546147,0.08043683,0.08047375,8.289606e-05,1753073," 437689:29:13.073",0
"6",0.02230549,0.1650195,0,0.08364382,0,0.0965874,0.02013308,0.02124178,0.1649569,0.1960916,0,0,0.096779,0.02088989,0.0214267,0.01814456,8.425447e-41,0.04005733,0.03785772,0.2136295,0.1625187,0.03557648,-1.261169e-44,1.49704e-09,3.298045e-09,0.02863404,0.0273597,0.0456541,0.04013349,0.1603619,0.1381823,0.04211454,0.04449556,0.1899531,0.1021316,0.0377958,0.04097056,0.0319934,0.02982684,0.04812345,0.04329156,0.1997021,0.199742,0.08413495,-1.261169e-44,-1.261169e-44,0.04426803,0.02923006,0.02549875,0.08045679,0.08050217,5.836809e-05,1753089," 437689:29:13.089",0
"7",0.02221455,0.1621651,0,0.08529863,0,0.09685177,0.02036333,0.02118128,0.1621089,0.1976935,0,0,0.09704291,0.02112567,0.02153719,0.01814963,7.754085e-41,0.04020042,0.03789541,0.2131057,0.1624164,0.03556682,-1.261169e-44,1.377738e-09,3.035217e-09,0.02899518,0.02787364,0.04561595,0.04007262,0.1604807,0.1383231,0.04215061,0.0445098,0.1899552,0.1025894,0.03785117,0.04101087,0.03202904,0.02985134,0.04820883,0.0433615,0.1994678,0.1995054,0.08431853,-1.261169e-44,-1.261169e-44,0.04431704,0.0292432,0.02551385,0.08042513,0.08047828,4.439161e-05,1753106," 437689:29:13.106",0
"8",0.02235893,0.1612748,0,0.08600324,0,0.09713303,0.02038216,0.02133985,0.1612194,0.1983502,0,0,0.09732518,0.02113456,0.02163461,0.01822262,7.136253e-41,0.04032902,0.03794235,0.2132083,0.1626732,0.03566637,-1.261169e-44,1.267943e-09,2.793335e-09,0.02916159,0.02809102,0.04558224,0.04002394,0.1607637,0.1385262,0.04217259,0.04455359,0.1900872,0.1029195,0.0378984,0.04106593,0.03208601,0.02989346,0.04833224,0.04346175,0.1995742,0.19961,0.08434001,-1.261169e-44,-1.261169e-44,0.0443902,0.02929235,0.0255577,0.0805038,0.08056433,4.177515e-05,1753123," 437689:29:13.123",0
"9",0.02201943,0.1556159,0,0.08820375,0,0.09766079,0.02080521,0.02104221,0.1555812,0.2004613,0,0,0.0978541,0.02158367,0.02172208,0.01822859,6.567606e-41,0.0403643,0.03795788,0.2122458,0.1624757,0.03553103,-1.261169e-44,1.166898e-09,2.570729e-09,0.02923761,0.02808854,0.04568069,0.04009829,0.1608012,0.1385568,0.04222393,0.04462282,0.1902052,0.102965,0.03800505,0.04115373,0.03207123,0.02987448,0.0483387,0.04347222,0.1993803,0.1994141,0.0844807,-1.261169e-44,-1.261169e-44,0.04444703,0.0293408,0.02561767,0.08052891,0.0806107,3.499762e-05,1753139," 437689:29:13.139",0
"10",0.01919009,0.1532179,0,0.08975832,0,0.09807725,0.02222703,0.01867149,0.1531882,0.2019769,0,0,0.09827063,0.02334355,0.0218085,0.01818336,6.044221e-41,0.04039312,0.03799086,0.211689,0.1623568,0.03534297,-1.261169e-44,1.073906e-09,2.365862e-09,0.02947379,0.0282325,0.04578043,0.04019987,0.1608445,0.138646,0.04234071,0.04473949,0.1902537,0.1028679,0.03811341,0.04125417,0.03207057,0.0298646,0.04826959,0.04341766,0.1989067,0.1989389,0.08469772,-1.261169e-44,-1.261169e-44,0.04456745,0.02932733,0.02563064,0.08042426,0.08054319,3.048339e-05,1753156," 437689:29:13.156",0
