"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.03923473,0.09746621,0.06369685,0,0,0.06827882,0.0001895394,0.03924319,0.09842653,0.05477272,0,0,0.06827556,0.0001895649,0.01181205,-1.261169e-44,0.01773861,0.01839342,0.01993364,0.0526832,0.03274167,0.007562864,2.253967e-12,-1.261169e-44,-1.261169e-44,0.09002334,0.09870777,0.04609192,0.05217548,0.1283009,0.1544985,0.04002138,0.02170739,0.1480078,0.08565601,0.03923155,0.04174774,0.01616584,0.0172472,0.03553426,0.03689702,0.191432,0.1912784,0.0790362,0,0,0.02905883,0.02269453,0.0229822,0.06298231,0.06437722,1.211494e-05,757507," 437715:12:37.507",1
"2",0.03979143,0.09100504,0.05239086,0,0,0.06823146,0.0001744346,0.03980129,0.09192166,0.06588523,0,0,0.0682279,0.0001744581,0.01185899,-1.261169e-44,0.01772293,0.0183628,0.01992648,0.05277507,0.03275772,0.007450159,2.074344e-12,-1.261169e-44,-1.261169e-44,0.08997983,0.09945721,0.04626979,0.05246626,0.1281331,0.154565,0.03988307,0.02176157,0.1485651,0.08563751,0.03922139,0.04172299,0.01619634,0.01728647,0.03562142,0.03701989,0.1916311,0.1914857,0.07905977,0,0,0.02890994,0.02276137,0.02307289,0.06307689,0.06448057,1.083564e-05,757524," 437715:12:37.524",1
"3",0.02880264,0.07335623,0.03711015,0,0,0.06834749,0.0001605336,0.02879126,0.0742381,0.08079063,0,0,0.06834396,0.0001605552,0.01188425,-1.261169e-44,0.01768169,0.01834717,0.01992371,0.05289585,0.03280133,0.007247308,1.909035e-12,-1.261169e-44,-1.261169e-44,0.09001417,0.09967861,0.04641679,0.05274191,0.1278362,0.1544076,0.03981644,0.02184719,0.1489773,0.08550968,0.03923114,0.04174224,0.01621258,0.01730967,0.03560827,0.03704381,0.1912807,0.1911427,0.07938141,0,0,0.02883211,0.02278725,0.02314307,0.06298885,0.0644381,1.249206e-05,757541," 437715:12:37.541",1
"4",0.02186105,0.0607032,0.02408856,0,0,0.06851059,0.0001877772,0.02181073,0.06156868,0.09351694,0,0,0.06850721,0.000187835,0.01192127,-1.261169e-44,0.01753459,0.0183863,0.01996808,0.05307064,0.03292647,0.007129648,1.756901e-12,-1.261169e-44,-1.261169e-44,0.08997966,0.09984647,0.04649565,0.05288205,0.1276562,0.154211,0.03979668,0.02194776,0.1493246,0.08543024,0.03921977,0.04176538,0.01624757,0.01735234,0.03561223,0.03706719,0.1895387,0.1893984,0.08007727,0,0,0.0288146,0.0228181,0.02320519,0.06286965,0.06436612,1.45678e-05,757557," 437715:12:37.557",1
"5",0.01779948,0.05267012,0.01897866,0,0,0.06873784,0.0001979731,0.01774376,0.05354048,0.09849444,0,0,0.06873465,0.0001980415,0.01193028,-1.261169e-44,0.01742904,0.01834356,0.01993821,0.05321032,0.03296819,0.006932596,1.61689e-12,-1.261169e-44,-1.261169e-44,0.08975107,0.09962304,0.04667475,0.05320958,0.127463,0.154081,0.03976144,0.02200913,0.1498981,0.08538475,0.03930631,0.04189662,0.0162656,0.01737637,0.03562086,0.03710777,0.1886149,0.1884777,0.0806428,0,0,0.02878815,0.02284351,0.02327878,0.06271438,0.06426928,1.716456e-05,757574," 437715:12:37.574",1
"6",0.01354407,0.05204701,0.01789692,0,0,0.06901746,0.000454164,0.01351299,0.0529162,0.09953141,0,0,0.06901448,0.0004559415,0.01195342,-1.261169e-44,0.01731717,0.01829336,0.01989286,0.05324846,0.03298065,0.006767701,1.488036e-12,-1.261169e-44,-1.261169e-44,0.08993818,0.09997453,0.04683672,0.05348833,0.1274616,0.1541542,0.03972119,0.02203149,0.1505442,0.08549846,0.03940014,0.04204076,0.0162733,0.01739227,0.03567058,0.03719189,0.1886915,0.1885589,0.08080298,0,0,0.02874725,0.02290623,0.02337621,0.06268291,0.06429559,1.764598e-05,757591," 437715:12:37.591",1
"7",0.01089927,0.06666499,0.0265919,0,0,0.06897907,0.001147901,0.01088226,0.06752617,0.09112385,0,0,0.06897622,0.001153839,0.01202395,-1.261169e-44,0.01723296,0.01828614,0.01988319,0.05324862,0.03306404,0.006722538,1.369452e-12,-1.261169e-44,-1.261169e-44,0.09131752,0.106085,0.04696428,0.05367303,0.1275029,0.1542704,0.03966357,0.02204519,0.152006,0.0858565,0.03952784,0.04222123,0.01628985,0.01741458,0.03584508,0.03739473,0.1923795,0.1922839,0.08053605,0,0,0.02872718,0.0229906,0.02346339,0.0627972,0.06447573,1.595824e-05,757607," 437715:12:37.607",1
"8",0.009322334,0.07705585,0.0232489,0,0,0.06889326,0.001725571,0.009310926,0.07788523,0.09456716,0,0,0.06889054,0.001734737,0.01216434,-1.261169e-44,0.01720304,0.01832799,0.01986563,0.05317938,0.03312247,0.006739893,1.260317e-12,-1.261169e-44,-1.261169e-44,0.09205732,0.1087809,0.04709973,0.05382466,0.1276976,0.1545022,0.03957534,0.02206574,0.1529112,0.08703897,0.03966728,0.04242529,0.01634585,0.01747122,0.03619568,0.03776573,0.1989354,0.1988657,0.0800395,0,0,0.02867502,0.0231254,0.02357845,0.06301486,0.0647417,1.24105e-05,757624," 437715:12:37.624",1
"9",0.008200274,0.07788015,0.01708157,0,0,0.06878982,0.003157332,0.008192052,0.0786867,0.1007155,0,0,0.06878726,0.003177093,0.01223428,-1.261169e-44,0.01714165,0.01829258,0.01980643,0.05304952,0.03313466,0.006667535,1.15988e-12,-1.261169e-44,-1.261169e-44,0.09551948,0.1135515,0.04720117,0.0539646,0.1277721,0.1546408,0.03955223,0.0220417,0.1537412,0.08762067,0.03982093,0.04264913,0.01632986,0.01745597,0.03638244,0.03797277,0.2010526,0.2009933,0.07970388,0,0,0.02867808,0.02319339,0.02363814,0.06310362,0.0648798,1.171285e-05,757641," 437715:12:37.641",1
"10",0.007484077,0.07618275,0.0164262,0,0,0.06871608,0.003620723,0.007477256,0.07699145,0.1013148,0,0,0.0687137,0.00364357,0.01229607,-1.261169e-44,0.01702189,0.01826396,0.01976543,0.05299197,0.03325671,0.006620506,1.067447e-12,-1.261169e-44,-1.261169e-44,0.0968876,0.1155532,0.04721403,0.05399032,0.1278738,0.1547714,0.03952555,0.0219998,0.1550398,0.08813208,0.03993304,0.04283937,0.01631173,0.01743905,0.03657264,0.03817583,0.2020545,0.2020011,0.07952648,0,0,0.02871781,0.02325205,0.02368523,0.0631715,0.06501217,1.169989e-05,757675," 437715:12:37.675",1
