"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.1613629,0,0,0.01315079,0.1253214,0.3771449,-1.261169e-44,0.1609384,0,0.1217726,0,0.1235532,0.3785059,-1.261169e-44,0.04536857,0.01084796,1.245194e-05,0.08888728,0.02402085,0.144506,0.06589883,0.0001659191,0.00248627,0.1955052,0.2140705,-1.261169e-44,0,0.05667849,0.05524172,0.1235677,0.1237727,0.02038473,0.05404731,0.08916337,0.3179903,0.05375496,0.05322208,0.10693,0.1084978,0.09684036,0.09480405,0.2200765,0.2207972,0.09514257,1.56271e-06,1.55133e-06,0.0150846,0.05576232,0.05717362,0.07277443,0.07211477,2.168705e-06,934514," 437721:15:34.514",1
"2",0.1618367,0,0,0.01672109,0.1248157,0.377804,-1.261169e-44,0.161413,0,0.125322,0,0.1230317,0.3791824,-1.261169e-44,0.04547657,0.0108319,1.145962e-05,0.08892821,0.02398313,0.144531,0.06581435,0.0001526967,0.002717058,0.1957033,0.2143379,-1.261169e-44,0,0.05659206,0.05519262,0.1236608,0.1238929,0.02035192,0.05404743,0.08902526,0.3185295,0.05372968,0.05321711,0.1071465,0.1087146,0.09702918,0.09502027,0.220519,0.2212469,0.09499409,1.438174e-06,1.427701e-06,0.01504094,0.05586895,0.05731638,0.07294342,0.07226923,2.11724e-06,934531," 437721:15:34.531",1
"3",0.1621047,0,0,0.01961564,0.127194,0.378561,-1.261169e-44,0.1616837,0,0.1281719,0,0.1253875,0.3799545,-1.261169e-44,0.04555529,0.0107948,1.054638e-05,0.08897788,0.02396682,0.1446231,0.06576107,0.000140528,0.002975731,0.1959525,0.2147151,-1.261169e-44,0,0.05651586,0.05515642,0.123702,0.1239782,0.02031836,0.05407953,0.08889156,0.3187939,0.05370623,0.05320806,0.107355,0.108939,0.09712354,0.09515437,0.2209451,0.2216821,0.09484309,1.323563e-06,1.313925e-06,0.01500025,0.05597655,0.05747462,0.07308932,0.07241649,1.983406e-06,934548," 437721:15:34.548",1
"4",0.1624036,0,0,0.01925554,0.126176,0.378866,-1.261169e-44,0.161986,0,0.1278209,0,0.124375,0.3802695,-1.261169e-44,0.04562886,0.01081416,9.705918e-06,0.08904986,0.02394616,0.1446575,0.06569949,0.0001293291,0.003183365,0.1962599,0.215158,-1.261169e-44,0,0.05647466,0.05514447,0.1236899,0.1239955,0.02028665,0.05410326,0.08877277,0.3191661,0.05371196,0.05321961,0.1075709,0.1091758,0.09725325,0.09533373,0.2210849,0.2218341,0.09476526,1.218086e-06,1.209216e-06,0.01496182,0.05606212,0.05760175,0.0731715,0.07251129,1.818399e-06,934565," 437721:15:34.565",1
"5",0.1624482,0,0,0.01966771,0.1280502,0.3791803,-1.261169e-44,0.1620308,0,0.1282343,0,0.1262405,0.3805813,-1.261169e-44,0.04571342,0.01079088,8.932435e-06,0.08912395,0.02392647,0.1448304,0.0656869,0.0001190226,0.003394724,0.1965725,0.2155947,-1.261169e-44,0,0.05641973,0.05512066,0.1236813,0.1240509,0.02025704,0.05413095,0.08867151,0.3195775,0.05373039,0.05323576,0.1078065,0.1094438,0.09737986,0.09549379,0.2210357,0.2217922,0.0947616,1.121014e-06,1.112851e-06,0.01493151,0.05611685,0.05769428,0.07322475,0.07257385,1.859881e-06,934583," 437721:15:34.583",1
"6",0.1620523,0,0,0.01777525,0.1291605,0.3791538,-1.261169e-44,0.1616343,0,0.1263538,0,0.1273565,0.3805455,-1.261169e-44,0.04579141,0.01083673,8.220592e-06,0.08923653,0.02391479,0.1449338,0.06570461,0.0001095374,0.003462754,0.1968058,0.2159106,-1.261169e-44,0,0.05635651,0.05508202,0.1237277,0.1241185,0.02023529,0.05411331,0.08858059,0.3200179,0.05372329,0.05323387,0.1080162,0.1096779,0.09754395,0.09569464,0.2209501,0.2217143,0.09477314,1.031678e-06,1.024166e-06,0.01490489,0.05615457,0.05776121,0.07329693,0.07266151,2.016134e-06,934597," 437721:15:34.597",1
"7",0.1616593,0,0,0.02179522,0.1276322,0.3788027,-1.261169e-44,0.1612381,0,0.1303649,0,0.1258129,0.380191,-1.261169e-44,0.0458644,0.01081754,7.565476e-06,0.08932932,0.02389443,0.1448423,0.06564838,0.0001008082,0.003495971,0.1967807,0.2158041,-1.261169e-44,0,0.05628398,0.05503639,0.1237896,0.1242298,0.02022057,0.05406098,0.08849036,0.3206024,0.0536968,0.0532087,0.1081626,0.1098264,0.0977179,0.09586877,0.2211737,0.2219439,0.09465288,9.49462e-07,9.425479e-07,0.01487267,0.05615283,0.0577785,0.07338727,0.07274129,2.073699e-06,934614," 437721:15:34.614",1
"8",0.1611327,0,0,0.02330612,0.1269117,0.3785714,-1.261169e-44,0.1607065,0,0.1318791,0,0.125087,0.3799532,-1.261169e-44,0.04597612,0.01075554,6.962568e-06,0.08936723,0.02385338,0.1446573,0.0654979,9.277459e-05,0.00359251,0.1968295,0.2157721,-1.261169e-44,0,0.05624814,0.05502062,0.1238768,0.124385,0.02020886,0.05401963,0.08841362,0.3215649,0.05369029,0.05320256,0.108323,0.1099932,0.09794982,0.09609074,0.2215869,0.2223603,0.09449236,8.737976e-07,8.674344e-07,0.0148273,0.05619168,0.05783924,0.07351866,0.07284943,2.211694e-06,934631," 437721:15:34.631",1
"9",0.1611099,0,0,0.02186295,0.1246739,0.3784792,-1.261169e-44,0.1606829,0,0.1304744,0,0.1228639,0.3798583,-1.261169e-44,0.0460475,0.0107764,6.407708e-06,0.08930242,0.02379786,0.144553,0.06533347,8.538119e-05,0.003724955,0.197017,0.2159754,-1.261169e-44,0,0.05622239,0.05500721,0.1239678,0.1245033,0.0201838,0.05397515,0.08834434,0.3221864,0.05368249,0.05319967,0.1084841,0.1101795,0.09814142,0.09630359,0.2216888,0.2224677,0.09440445,8.04163e-07,7.983068e-07,0.01477796,0.05623563,0.05789848,0.07361417,0.07293874,2.30803e-06,934649," 437721:15:34.649",1
"10",0.1611965,0,0,0.02194607,0.1215088,0.37824,-1.261169e-44,0.1607677,0,0.1305788,0,0.1197092,0.3796155,-1.261169e-44,0.04610776,0.01081118,5.897065e-06,0.08918849,0.02374012,0.1446586,0.06522493,7.8577e-05,0.003844913,0.1972236,0.2162122,-1.261169e-44,0,0.0561871,0.05498666,0.1240679,0.1246209,0.02014761,0.05394195,0.08832047,0.3226764,0.05367564,0.05319849,0.1086275,0.1103317,0.09834406,0.09651504,0.2218293,0.2226105,0.09428474,7.400777e-07,7.346882e-07,0.01474017,0.05627523,0.0579508,0.07373971,0.07304753,2.585146e-06,934664," 437721:15:34.664",1
